"SUPERPATHWAY"	"SUBPATHWAY"	"COMPID"	"PLATFORM"	"RI"	"MASS"	"CAS"	"PUBCHEM"	"KEGG"	"HMDBID"
"12-hete"	"Lipid"	"Eicosanoid"	37536	"203"	5295	319.22786	"73837-14-6"	"5312983"	""	"HMDB06111"
"x-14384"	""	""	36310	"203"	2732	265.11963	""	""	""	""
"eicosapentaenoate (epa; 20:5n3)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	18467	"203"	5442	301.2173	"10-2005-9;10417-94-4"	"446284"	"C06428"	"HMDB01999"
"n-acetylalanine"	"Amino Acid"	"Alanine and Aspartate Metabolism"	1585	"203"	882	130.05096	"97-69-8"	"88064"	"C02847"	"HMDB00766"
"4-acetaminophen sulfate"	"Xenobiotics"	"Drug"	37475	"203"	1779	230.01287	"10066-90-7;32113-41-0"	"83939"	"C06804"	"HMDB59911"
"n2,n2-dimethylguanosine"	"Nucleotide"	"Purine Metabolism, Guanine containing"	35137	"202"	2157	312.13025	"2140-67-2"	"92919"	""	"HMDB04824"
"4-hydroxyproline betaine"	"Xenobiotics"	"Food Component/Plant"	38100	"202"	746	160.09682	"515-25-3"	"164642;1550239"	""	""
"stachydrine"	"Xenobiotics"	"Food Component/Plant"	34384	"202"	860	144.10191	"4136-37-2"	"115244"	"C10172"	"HMDB04827"
"tryptophylglycine"	"Peptide"	"Dipeptide"	43028	"202"	2351	262.11862	"7360-09-0"	"263471"	""	""
"x-17706"	""	""	40803	"203"	4691.3	539.25012	""	""	""	""
"x-14808"	""	""	36743	"202"	1575	221.0923	""	""	""	""
"laurylcarnitine (c12)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	34534	"202"	5066	344.27954	"25518-54-1"	"10427569"	""	"HMDB02250"
"catechol sulfate"	"Xenobiotics"	"Benzoate Metabolism"	35320	"203"	1928	188.98631	"120-80-9"	"3083879"	"C00090"	""
"n1-methyl-2-pyridone-5-carboxamide"	"Cofactors and Vitamins"	"Nicotinate and Nicotinamide Metabolism"	40469	"202"	1707.3	153.06586	"701-44-0"	"69698"	"C05842"	"HMDB04193"
"seryltyrosine"	"Peptide"	"Dipeptide"	42077	"202"	1714	269.1132	"21435-27-8"	"4575735"	""	""
"2-methylbutyroylcarnitine (c5)"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	35431	"202"	2439	246.16999	"31023-25-3"	"6426901"	""	"HMDB00378"
"x-12749"	""	""	34359	"202"	1562	262.12879	""	""	""	""
"glycylleucine"	"Peptide"	"Dipeptide"	34398	"202"	2236	189.12337	"869-19-2"	"92843"	"C02155"	"HMDB00759"
"1-eicosapentaenoylglycerophosphoethanolamine"	"Lipid"	"Lysolipid"	44626	"203"	5560.7	498.26261	""	""	""	""
"ribulose"	"Carbohydrate"	"Pentose Metabolism"	35855	"GC/MS"	1662	306.1	"488-84-6"	"151261"	"C00309"	"HMDB00621"
"x-14411"	""	""	36337	"203"	3078	261.12479	""	""	""	""
"x-17299"	""	""	40097	"202"	1265.9	229.15448	""	""	""	""
"1-arachidonoyl-gpe (20:4)"	"Lipid"	"Lysolipid"	35186	"203"	5731	500.27826	""	"42607465"	""	"HMDB11517"
"2-methylmalonyl carnitine"	"Lipid"	"Fatty Acid Synthesis"	35482	"202"	1539	262.12852	"149181-64-6"	"53481628"	""	"HMDB13133"
"4-acetamidobutanoate"	"Amino Acid"	"Polyamine Metabolism"	1558	"202"	1724	146.08117	"3025-96-5"	"18189"	"C02946"	"HMDB03681"
"gamma-glutamyllysine"	"Peptide"	"Gamma-glutamyl Amino Acid"	33934	"202"	762	276.1554	"17105-15-6"	"65254;14284565"	""	"HMDB03869"
"x-13553"	""	""	35331	"203"	1406	263.02257	""	""	""	""
"x-18886"	""	""	42271	"203"	1905.6	217.108	""	""	""	""
"x-18140"	""	""	41243	"202"	1931.1	125.0643	""	""	""	""
"pyroglutamylglutamine"	"Peptide"	"Dipeptide"	22194	"203"	879	256.09389	"109481-23-4"	""	""	""
"n-acetylthreonine"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	33939	"203"	846	160.06153	"17093-74-2"	"152204"	"C01118"	""
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)"	"Lipid"	"Fatty Acid, Dicarboxylate"	31787	"203"	2815	239.09249	"86879-39-2"	"123979"	""	"HMDB61112"
"x-18309"	""	""	41491	"202"	4323.5	621.38989	""	""	""	""
"pregnanediol-3-glucuronide"	"Lipid"	"Steroid"	40708	"203"	5136.9	495.29634	"1852-49-9"	"123796"	""	""
"phenylalanylphenylalanine"	"Peptide"	"Dipeptide"	38150	"202"	3317	313.15467	"2577-40-4"	"6993090;6993089"	""	""
"leucylphenylalanine"	"Peptide"	"Dipeptide"	40026	"202"	3308	279.17032	"424904"	"259325"	""	""
"leucylserine"	"Peptide"	"Dipeptide"	40048	"202"	1519.7	219.13394	"1574172"	"3621685"	""	""
"x-17001"	""	""	39632	"202"	1729.5	288.1441	""	""	""	""
"5alpha-androstan-3beta,17alpha-diol disulfate"	"Lipid"	"Steroid"	37187	"203"	4207	225.06965	""	""	""	""
"1-palmitoyl-gpi (16:0)"	"Lipid"	"Lysolipid"	35305	"203"	5573	571.28888	""	""	""	""
"2-hydroxybutyrate (ahb)"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	21044	"GC/MS"	1169.4	131	"3347-90-8"	"440864"	"C05984"	"HMDB00008"
"x-16946"	""	""	39529	"203"	3262.3	317.1139	""	""	""	""
"x-16071"	""	""	38514	"202"	3616	146.06001	""	""	""	""
"x-16580"	""	""	39153	"202"	1681.8	222.07977	""	""	""	""
"x-13866"	""	""	35761	"203"	2406	253.10763	""	""	""	""
"threonylphenylalanine"	"Peptide"	"Dipeptide"	31530	"202"	2500	267.13394	"16875-27-7"	"4099799;4099798"	""	""
"docosahexaenoate (dha; 22:6n3)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	19323	"203"	5518	327.23295	"6217-54-5"	"445580"	"C06429"	"HMDB02183"
"chiro-inositol"	"Lipid"	"Inositol Metabolism"	37112	"GC/MS"	1857	318.1	"643-12-9"	""	""	""
"1-arachidonoyl-gpi (20:4)"	"Lipid"	"Lysolipid"	34214	"203"	5479	619.28888	""	""	""	""
"x-12104"	""	""	33519	"202"	1755	271.0928	""	""	""	""
"x-18928"	""	""	42313	"202"	3349.3	675.3407	""	""	""	""
"mannose"	"Carbohydrate"	"Fructose, Mannose and Galactose Metabolism"	584	"GC/MS"	1753.5	204	"3458-28-4"	"18950"	"C00159"	"HMDB00169"
"5-methylthioadenosine (mta)"	"Amino Acid"	"Polyamine Metabolism"	1419	"202"	2427	298.09684	"2457-80-9"	"439176"	"C00170"	"HMDB01173"
"x-13152"	""	""	34844	"202"	1731	168.06335	""	""	""	""
"isoleucylglutamine"	"Peptide"	"Dipeptide"	40019	"202"	1530	260.16049	""	""	""	""
"x-17564"	""	""	40395	"202"	1441	247.1286	""	""	""	""
"3-indoxyl sulfate"	"Amino Acid"	"Tryptophan Metabolism"	27672	"203"	2258	212.0023	"2642-37-7"	"10258"	""	"HMDB00682"
"isoleucine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	1125	"202"	1614	132.10191	"73-32-5"	"6306"	"C00407"	"HMDB00172"
"phenylalanylisoleucine"	"Peptide"	"Dipeptide"	40069	"202"	3050	279.17032	"22951-94-6"	""	""	""
"x-12511"	""	""	34524	"203"	3937	200.12881	""	""	""	""
"3-methylhistidine"	"Amino Acid"	"Histidine Metabolism"	15677	"203"	911	168.07785	"368-16-1"	"64969"	"C01152"	"HMDB00479"
"succinate"	"Energy"	"TCA Cycle"	1437	"GC/MS"	1348	247	"110-15-6"	"1110"	"C00042"	"HMDB00254"
"histidylisoleucine"	"Peptide"	"Dipeptide"	43138	"202"	1414.9	269.16082	"510-791-9560"	"4060215"	""	""
"x-18938"	""	""	42325	"203"	2294.2	245.13962	""	""	""	""
"mandelate"	"Xenobiotics"	"Benzoate Metabolism"	22160	"GC/MS"	1495	178.9	"90-64-2"	"1292"	"C01984"	"HMDB00703"
"2-hydroxyhippurate (salicylurate)"	"Xenobiotics"	"Benzoate Metabolism"	18281	"203"	2252	194.04588	"487-54-7"	"10253"	"C07588"	"HMDB00840"
"n-acetyl-3-methylhistidine"	"Amino Acid"	"Histidine Metabolism"	43256	"202"	935	212.10297	"37841-04-6"	""	""	""
"arginylproline"	"Peptide"	"Dipeptide"	41394	"202"	785.8	272.17172	"2418-69-1"	"332964"	""	""
"n-acetylarginine"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	33953	"202"	1087	217.12952	"155-84-0"	"67427"	"C02562"	"HMDB04620"
"x-13557"	""	""	38363	"202"	4224	254.05768	""	""	""	""
"x-11315"	""	""	32632	"202"	1210	130.08647	""	""	""	""
"methyl palmitate (16:0)"	"Lipid"	"Fatty Acid, Methyl Ester"	12091	"GC/MS"	1843.8	86.9	"112-39-0"	"8181"	"C16995"	""
"tryptophan betaine "	"Amino Acid"	"Tryptophan Metabolism"	37097	"202"	2464	247.14411	"20671-76-5"	"442106"	"C09213"	"HMDB61115"
"x-13737"	""	""	35547	"202"	923	129.10216	""	""	""	""
"x-11795"	""	""	33140	"202"	1457	148.09703	""	""	""	""
"x-13658"	""	""	35451	"203"	4667	253.08348	""	""	""	""
"palmitoyl ethanolamide"	"Lipid"	"Endocannabinoid"	38165	"203"	6416	298.27515	"544-31-0"	"4671"	"C16512"	"HMDB02100"
"beta-tocopherol"	"Cofactors and Vitamins"	"Tocopherol Metabolism"	35702	"GC/MS"	2260	488.3	"148-03-8"	"6857447"	"C14152"	"HMDB06335"
"ectoine"	"Xenobiotics"	"Chemical"	35651	"202"	832	143.08151	"96702-03-3"	"126041"	"C06231"	""
"x-16134"	""	""	38581	"202"	3151.9	603.79217	""	""	""	""
"x-17189"	""	""	39859	"202"	4067.5	619.75278	""	""	""	""
"isoleucylleucine"	"Peptide"	"Dipeptide"	36760	"202"	2856	245.18597	"26462-22-6"	"11644431"	""	""
"x-14445"	""	""	36371	"202"	3235	243.13393	""	""	""	""
"glycerol 2-phosphate"	"Xenobiotics"	"Chemical"	27728	"GC/MS"	1691.8	243	"819-83-0"	"2526"	"C02979"	"HMDB02520"
"x-12095"	""	""	33510	"202"	1638	153.06607	""	""	""	""
"1-arachidonoyl-gpc (20:4)"	"Lipid"	"Lysolipid"	33228	"202"	5554	544.33977	""	""	"C05208"	""
"x-15454"	""	""	37702	"202"	1079	246.10831	""	""	""	""
"x-16130"	""	""	38577	"202"	1693.6	289.15051	""	""	""	""
"x-17115"	""	""	39752	"203"	1308.7	316.10452	""	""	""	""
"phenylacetylglutamine"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	35126	"202"	2868	265.11829	"28047-15-6"	"92258"	"C04148"	"HMDB06344"
"cytidine"	"Nucleotide"	"Pyrimidine Metabolism, Cytidine containing"	514	"202"	1065	244.0928	"65-46-3"	"6175"	"C00475"	"HMDB00089"
"propionylcarnitine (c3)"	"Lipid"	"Fatty Acid Metabolism (also BCAA Metabolism)"	32452	"202"	1589	218.13869	"17298-37-2"	"107738"	"C03017"	"HMDB00824"
"10-undecenoate (11:1n1)"	"Lipid"	"Medium Chain Fatty Acid"	32497	"203"	5086	183.13905	"1333-28-4"	""	""	""
"n6-carbamoylthreonyladenosine"	"Nucleotide"	"Purine Metabolism, Adenine containing"	35157	"202"	2656	413.14154	"24719-82-2"	""	""	""
"4-methyl-2-oxopentanoate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	22116	"203"	2200	129.05571	"816-66-0"	"70"	"C00233"	"HMDB00695"
"4-guanidinobutanoate"	"Amino Acid"	"Guanidino and Acetamido Metabolism"	15681	"202"	1085	146.09241	"463-003;463-00-3"	"500"	"C01035"	"HMDB03464"
"phenylalanylserine"	"Peptide"	"Dipeptide"	40016	"202"	1808	253.11829	"16053-39-7"	"9859812"	""	""
"x-12125"	""	""	33540	"202"	1544	245.16109	""	""	""	""
"phenylalanylalanine"	"Peptide"	"Dipeptide"	41374	"202"	2047.6	237.12337	"3918-87-4"	"6993123;5488196"	""	""
"tigloylglycine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	1598	"202"	2523	158.08117	"35842-45-6"	"6441567"	""	"HMDB00959"
"x-15636"	""	""	37885	"203"	3814	243.03282	""	""	""	""
"cis-aconitate"	"Energy"	"TCA Cycle"	12025	"203"	603	173.00916	"585-84-2"	"643757"	"C00417"	"HMDB00072"
"1-docosahexaenoyl-gpc (22:6)"	"Lipid"	"Lysolipid"	33822	"202"	5518	568.33977	""	""	""	""
"1,2-dipalmitoylglycerol"	"Lipid"	"Diacylglycerol"	35727	"GC/MS"	2600	313.3	"40290-32-2"	"99931"	""	"HMDB07098"
"cyclo(leu-pro)"	"Peptide"	"Dipeptide"	37104	"202"	3445	211.14411	"2873-36-1"	"7074739"	""	""
"x-12225"	""	""	33646	"202"	1009	143.1175	""	""	""	""
"x-12114"	""	""	33529	"202"	1517	365.17397	""	""	""	""
"isoleucylalanine"	"Peptide"	"Dipeptide"	40046	"202"	1686	203.13902	"24787-73-3"	"5246009;5246010"	""	""
"x-15678"	""	""	37927	"202"	1742	249.05429	""	""	""	""
"inosine"	"Nucleotide"	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1123	"203"	1600	267.07349	"58-63-9"	"6021"	"C00294"	"HMDB00195"
"x-12364"	""	""	33792	"202"	1800	204.08662	""	""	""	""
"methyl indole-3-acetate"	"Xenobiotics"	"Food Component/Plant"	1584	"202"	4359	190.08626	"1912-33-0"	"74706"	""	"HMDB29738"
"glutarate (pentanedioate)"	"Amino Acid"	"Lysine Metabolism"	396	"GC/MS"	1433.6	261	"110-94-1"	"743"	"C00489"	"HMDB00661"
"x-17359"	""	""	40167	"203"	4607.5	541.265	""	""	""	""
"homovanillate sulfate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	38349	"203"	1050	261.00744	"38339-06-9"	"29981063"	""	"HMDB11719"
"x-15502"	""	""	37750	"203"	1557	216.03308	""	""	""	""
"tyrosylglutamate"	"Peptide"	"Dipeptide"	42953	"202"	1558	311.12377	""	""	""	""
"n-stearoyltaurine"	"Lipid"	"Endocannabinoid"	39730	"203"	5785.9	390.26835	"63155-80-6"	"168274"	""	""
"n-acetylcarnosine"	"Peptide"	"Dipeptide Derivative"	43488	"202"	1145	269.12444	"56353-15-2"	"9903482"	""	""
"3-methoxytyramine sulfate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	44618	"203"	1705.3	246.04416	""	""	""	""
"x-18929"	""	""	42314	"202"	3881.1	319.1285	""	""	""	""
"7-hoca"	"Lipid"	"Sterol"	36776	"203"	5268	429.30103	"115538-85-7"	"3081085"	"C17337"	"HMDB12458"
"1-arachidonylglycerol"	"Lipid"	"Monoacylglycerol"	34397	"203"	5937	303.23295	"35474-99-8"	"5282281"	"C13857"	"HMDB11572"
"x-11838"	""	""	33183	"203"	2314	276.0001	""	""	""	""
"1-methylguanosine"	"Nucleotide"	"Purine Metabolism, Guanine containing"	31609	"202"	1850	298.1146	"2140-65-0"	"96373"	""	"HMDB01563"
"x-11849"	""	""	33194	"203"	3229	266.01746	""	""	""	""
"1-methyladenosine"	"Nucleotide"	"Purine Metabolism, Adenine containing"	15650	"202"	1356	282.11969	"15763-06-1"	"27476"	"C02494"	"HMDB03331"
"x-12906"	""	""	34590	"203"	810	158.04586	""	""	""	""
"x-12459"	""	""	33904	"202"	4408	302.23242	""	""	""	""
"x-15192"	""	""	37333	"202"	674	188.17561	""	""	""	""
"x-17335"	""	""	40133	"202"	4521.7	248.1674	""	""	""	""
"pyruvate"	"Carbohydrate"	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	599	"GC/MS"	1130.6	217	"127-17-3"	"1060"	"C00022"	"HMDB00243"
"cyclo(glu-glu)"	"Peptide"	"Dipeptide"	37100	"202"	1595	259.09247	""	"7408481"	""	""
"x-13507"	""	""	35281	"202"	1443	158.09239	""	""	""	""
"arabinose"	"Carbohydrate"	"Pentose Metabolism"	575	"GC/MS"	1631.6	217	"28697-53-2"	"66308"	"C00216"	"HMDB00646"
"x-18179"	""	""	41282	"202"	1013.9	260.11209	""	""	""	""
"x-19299"	""	""	42775	"203"	3838.5	227.1288	""	""	""	""
"x-20588"	""	""	45189	"202"	2263.9	274.11844	""	""	""	""
"arginine"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	1638	"202"	650	175.11896	"1119-34-2"	"232"	"C00062"	"HMDB00517"
"2-stearoylglycerophosphoethanolamine"	"Lipid"	"Lysolipid"	41220	"202"	5779.6	482.32412	""	""	""	""
"n-acetyltryptophan"	"Amino Acid"	"Tryptophan Metabolism"	33959	"202"	3553	247.10772	"1218-34-4"	"700653"	"C03137"	"HMDB13713"
"2-hydroxyglutarate"	"Lipid"	"Fatty Acid, Dicarboxylate"	37253	"GC/MS"	1576	247	"40951-21-1"	"43"	"C02630"	"HMDB00606"
"x-12879"	""	""	34563	"203"	1124	147.0662	""	""	""	""
"x-14331"	""	""	36257	"202"	2560	393.22303	""	""	""	""
"x-18739"	""	""	42076	"202"	5076.6	370.2944	""	""	""	""
"tryptophylphenylalanine"	"Peptide"	"Dipeptide"	41399	"202"	3530	352.16557	"1748091"	"4427709"	""	""
"3-methoxytyrosine"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	12017	"202"	1765	212.09174	"300-48-1"	"1670"	""	"HMDB01434"
"phenylalanylglutamate"	"Peptide"	"Dipeptide"	41432	"202"	2005	295.12885	"3617-45-6"	"4422358"	""	""
"x-11662"	""	""	33269	"202"	3172	251.10252	""	""	""	""
"3-(4-hydroxyphenyl)lactate (hpla)"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	32197	"203"	1395	181.05063	"6482-98-0"	"9378"	"C03672"	"HMDB00755"
"3-hydroxysebacate"	"Lipid"	"Fatty Acid, Monohydroxy"	31943	"203"	1285	217.10814	"73141-46-5"	"3017884"	""	"HMDB00350"
"ethyl glucuronide"	"Xenobiotics"	"Chemical"	39603	"203"	804	221.06667	"17685-04-0"	"152226"	""	""
"1-oleoyl-gpe (18:1)"	"Lipid"	"Lysolipid"	35628	"203"	5928	478.29391	"89576-29-4"	"9547071"	""	"HMDB11506"
"x-11444"	""	""	32761	"203"	3983	541.26452	""	""	""	""
"x-11677"	""	""	33015	"202"	1878	267.09702	""	""	""	""
"x-17357"	""	""	40165	"203"	4095	541.26367	""	""	""	""
"1-eicosadienoyl-gpc (20:2)"	"Lipid"	"Lysolipid"	33871	"202"	5696	548.37107	""	""	""	""
"dsgegdfxaegggvr"	"Peptide"	"Fibrinogen Cleavage Peptide"	31548	"202"	3379	733.33133	""	""	""	""
"alpha-ketobutyrate"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	42107	"GC/MS"	1220	231.1	"600-18-0"	"58"	"C00109"	"HMDB00005"
"x-12127"	""	""	33542	"202"	1235	226.08231	""	""	""	""
"3-dehydrocarnitine"	"Lipid"	"Carnitine Metabolism"	32654	"202"	1020	160.09682	"10457-99-5"	"6991982"	"C02636"	"HMDB12154"
"x-18718"	""	""	41997	"202"	1750.5	237.0867	""	""	""	""
"x-13730"	""	""	35540	"203"	1806	233.01206	""	""	""	""
"3-dehydrocholate"	"Lipid"	"Secondary Bile Acid Metabolism"	31900	"203"	5050	405.26464	"2304-89-4"	"159655"	""	"HMDB00502"
"x-17443"	""	""	40272	"203"	3102.3	271.15533	""	""	""	""
"xanthine"	"Nucleotide"	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	3147	"202"	1430	153.04071	"69-89-6"	"1188"	"C00385"	"HMDB00292"
"5alpha-pregnan-3alpha,20beta-diol disulfate 1"	"Lipid"	"Steroid"	37201	"203"	4287	239.0853	""	""	""	""
"x-09789"	""	""	32753	"203"	2613	153.01899	""	""	""	""
"allantoin"	"Nucleotide"	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1107	"GC/MS"	1809.8	518.3	"97-59-6"	"204"	"C02350"	"HMDB00462"
"n-palmitoyltaurine"	"Lipid"	"Endocannabinoid"	39835	"203"	5556.8	362.23705	"83982-06-3"	""	""	""
"x-11564"	""	""	32881	"203"	1188	177.02234	""	""	""	""
"trigonelline (n-methylnicotinate)"	"Cofactors and Vitamins"	"Nicotinate and Nicotinamide Metabolism"	32401	"202"	757	138.05496	"535-83-1"	"5570"	"C01004"	"HMDB00875"
"salicyluric glucuronide"	"Xenobiotics"	"Drug"	33384	"203"	1463	370.07797	""	""	""	""
"threonylleucine"	"Peptide"	"Dipeptide"	40051	"202"	2204	233.14959	"50299-12-2"	"4420322"	""	""
"x-19497"	""	""	43050	"203"	3657.6	227.129	""	""	""	""
"x-13871"	""	""	35766	"202"	980	192.0322	""	""	""	""
"x-12056"	""	""	33408	"202"	1129	156.07673	""	""	""	""
"glucuronate"	"Carbohydrate"	"Aminosugar Metabolism"	15443	"GC/MS"	1888	217	"207300-70-7"	"444791"	"C00191"	"HMDB00127"
"4-hydroxyhippurate"	"Xenobiotics"	"Benzoate Metabolism"	35527	"203"	1439	194.04588	"2482-25-9"	"151012"	""	"HMDB13678"
"x-15668"	""	""	37917	"202"	3471	412.20892	""	""	""	""
"suberate (octanedioate)"	"Lipid"	"Fatty Acid, Dicarboxylate"	15730	"203"	831	173.08193	"505-48-6"	"10457"	"C08278"	"HMDB00893"
"x-18913"	""	""	42298	"203"	4550.4	185.11856	""	""	""	""
"sphingosine"	"Lipid"	"Sphingolipid Metabolism"	17747	"202"	5197	300.28971	"123-78-4"	"5353955"	"C00319"	"HMDB00252"
"n-acetyltyrosine"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	32390	"203"	1677	222.07718	"537-55-3"	"68310"	""	"HMDB00866"
"x-15168"	""	""	37309	"202"	1850	294.14509	""	""	""	""
"andro steroid monosulfate 1"	"Lipid"	"Steroid"	32827	"203"	3925	383.1532	""	""	"C04555"	"HMDB02759"
"docosadienoate (22:2n6)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	32415	"203"	6017	335.29555	"7370-49-2"	"5282807"	"C16533"	""
"creatinine"	"Amino Acid"	"Creatine Metabolism"	513	"202"	730	114.06619	"60-27-5"	"588"	"C00791"	"HMDB00562"
"x-13081"	""	""	34773	"202"	5088	304.29893	""	""	""	""
"x-12013"	""	""	33359	"203"	2094	242.01238	""	""	""	""
"acisoga"	"Amino Acid"	"Polyamine Metabolism"	43258	"202"	2317.9	185.1285	"106692-36-8"	"129397"	""	""
"quinolinate"	"Cofactors and Vitamins"	"Nicotinate and Nicotinamide Metabolism"	1899	"GC/MS"	1697.7	296.1	"89-00-9"	"1066"	"C03722"	"HMDB00232"
"beta-hydroxypyruvate"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	15686	"GC/MS"	1425.1	221	"1113-60-6;3369-79-7"	"964"	"C00168"	"HMDB01352"
"dihomolinolenate (20:3n3 or 3n6)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	35718	"203"	5600	305.2486	"17046-59-2"	"5280581"	"C03242"	"HMDB02925"
"n2-acetyllysine"	"Amino Acid"	"Lysine Metabolism"	36751	"202"	853	189.12337	"1946-82-3"	"92907"	"C12989"	"HMDB00446"
"4-acetylphenyl sulfate"	"Xenobiotics"	"Drug"	22115	"203"	2399	215.00196	""	"4684006"	"C00548"	""
"gamma-glutamylglutamine"	"Peptide"	"Gamma-glutamyl Amino Acid"	2730	"202"	806	276.11902	"10148-81-9"	"150914"	"C05283"	"HMDB11738"
"2-hydroxypalmitate"	"Lipid"	"Fatty Acid, Monohydroxy"	35675	"203"	5508	271.22786	"764-67-0"	"92836"	""	"HMDB31057"
"n-acetylhistidine"	"Amino Acid"	"Histidine Metabolism"	33946	"203"	913	196.07276	"39145-52-3"	"75619"	"C02997"	"HMDB32055"
"1,3-dipalmitoylglycerol"	"Lipid"	"Diacylglycerol"	35728	"GC/MS"	2637	371.3	"26657-95-4"	"68149"	""	"HMDB31011"
"beta-hydroxyisovalerate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	12129	"203"	1043	117.05572	"625-08-1"	"69362"	""	"HMDB00754"
"x-12844"	""	""	34527	"203"	4168	539.24889	""	""	""	""
"1-pentadecanoylglycerol (1-monopentadecanoin)"	"Lipid"	"Monoacylglycerol"	34385	"203"	5978	241.2173	""	"190750"	""	""
"piperine"	"Xenobiotics"	"Food Component/Plant"	33935	"202"	5136	286.14377	"94-62-2"	"638024"	"C03882"	"HMDB29377"
"1-oleoyl-gpc (18:1)"	"Lipid"	"Lysolipid"	33960	"202"	5700	522.35542	"19420-56-5"	"16081932"	""	""
"x-12824"	""	""	40821	"202"	3380.1	245.14916	""	""	""	""
"andro steroid monosulfate 2"	"Lipid"	"Steroid"	32792	"203"	4240	383.1532	""	""	"C04555"	"HMDB02759"
"gamma-glutamyltyrosine"	"Peptide"	"Gamma-glutamyl Amino Acid"	2734	"202"	2073	311.12377	"7432-23-7"	"94340"	""	"HMDB11741"
"x-18307"	""	""	41484	"202"	3525.1	578.33777	""	""	""	""
"x-17138"	""	""	39802	"202"	4104.9	310.20065	""	""	""	""
"riboflavin (vitamin b2)"	"Cofactors and Vitamins"	"Riboflavin Metabolism"	1827	"202"	3111	377.14557	"83-88-5"	"493570"	"C00255"	"HMDB00244"
"5alpha-pregnan-3beta,20alpha-diol disulfate"	"Lipid"	"Steroid"	37198	"203"	3962	239.0853	""	""	""	""
"x-14193"	""	""	36119	"202"	1818	283.12911	""	""	""	""
"n-methyl proline"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	37431	"202"	833	130.08626	"475-11-6"	"557"	""	""
"deoxycarnitine"	"Lipid"	"Carnitine Metabolism"	36747	"202"	759	146.11756	"6249-56-5"	"134"	"C01181"	"HMDB01161"
"benzoate"	"Xenobiotics"	"Benzoate Metabolism"	15778	"GC/MS"	1291.5	179	"65-85-0"	"243"	"C00180"	"HMDB01870"
"c-glycosyltryptophan"	"Amino Acid"	"Tryptophan Metabolism"	32675	"202"	1912	367.14998	""	""	""	""
"hexadecanedioate (c16)"	"Lipid"	"Fatty Acid, Dicarboxylate"	35678	"203"	4650	285.20713	"505-54-4"	"10459"	"C19615"	"HMDB00672"
"x-13106"	""	""	34798	"202"	1029	167.09265	""	""	""	""
"x-11452"	""	""	32769	"203"	4109	352.08534	""	""	""	""
"x-15667"	""	""	37916	"202"	2330	202.08654	""	""	""	""
"x-11871"	""	""	33216	"202"	5249	370.36743	""	""	""	""
"acetylcarnitine (c2)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	32198	"202"	1203	204.12304	"5080-50-2"	"1"	"C02571"	"HMDB00201"
"x-12690"	""	""	34299	"202"	1386	346.12446	""	""	""	""
"5-hydroxyindoleacetate"	"Amino Acid"	"Tryptophan Metabolism"	437	"202"	2549	192.06552	"54-16-0"	"1826"	"C05635"	"HMDB00763"
"3-hydroxydecanoate"	"Lipid"	"Fatty Acid, Monohydroxy"	22053	"203"	4681	187.13396	"5561-87-5"	"26612"	""	"HMDB02203"
"3-methylglutaroylcarnitine (c6)"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	37060	"202"	1900	290.15982	"102673-95-0"	"128145"	""	"HMDB00552"
"tryptophan"	"Amino Acid"	"Tryptophan Metabolism"	54	"202"	2445	205.09716	"73-22-3"	"6305"	"C00078"	"HMDB00929"
"tiglyl carnitine (c5)"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	35428	"202"	2317	244.15434	"64191-86-2"	"22833596"	""	"HMDB02366"
